phenotype,positive,negative
attenuation_coefficient_qbox,1347,35827
bmi,5323,4204
body_comp_android_fat_mass,10079,3831
body_comp_android_lean_mass,5137,1206
body_comp_android_tissue_percent_fat,9871,4105
body_comp_total_fat_mass,7168,5399
body_comp_total_lean_mass,1257,436
body_comp_total_tissue_mass,5299,2664
body_comp_total_tissue_percent_fat,7774,6882
body_comp_trunk_fat_mass,9805,3850
body_comp_trunk_lean_mass,820,541
body_comp_trunk_tissue_percent_fat,9687,4166
cgm_above_140,39655,2281
cgm_above_180,864,44
cgm_adrr,1562,36234
cgm_cogi,13601,951
cgm_cv,117,5812
cgm_gmi,82680,2999
cgm_grade,2104,185
cgm_grade_eugly,6623,307
cgm_hbgi,42814,2514
cgm_iqr,9501,2735
cgm_lbgi,1974,46929
cgm_mad,12485,1864
cgm_mag,16314,3798
cgm_mean,82680,2999
cgm_median,81142,2991
cgm_modd,466,661
cgm_sd_roc,16608,4713
cgm_sdhmm,21205,2124
cgm_sdw,591,971
cgm_sdwsh,32997,5295
dispersion_qbox_median,326,619
elasticity_qbox_median,250,546
hip_circumference,2004,1064
speed_of_sound_qbox,2282,8275
total_scan_sat_mass,7122,3124
total_scan_sat_volume,7122,3124
total_scan_vat_mass,19871,3874
total_scan_vat_volume,19871,3874
velocity_qbox_median,313,440
viscosity_qbox_median,5,2451
waist_circumference,7013,1625
waist_to_hip_ratio,8553,1004
