phenotype,positive,negative
attenuation_coefficient_qbox,37,32
bmi,20,7
body_comp_android_fat_mass,37,28
body_comp_android_lean_mass,21,4
body_comp_android_tissue_percent_fat,36,27
body_comp_total_fat_mass,39,9
body_comp_total_lean_mass,1,2
body_comp_total_tissue_mass,29,4
body_comp_total_tissue_percent_fat,38,22
body_comp_trunk_fat_mass,36,27
body_comp_trunk_lean_mass,1,2
body_comp_trunk_tissue_percent_fat,33,28
cgm_above_140,33,55
cgm_adrr,32,30
cgm_cogi,8,17
cgm_cv,0,15
cgm_gmi,109,70
cgm_grade,0,4
cgm_grade_eugly,6,2
cgm_hbgi,28,63
cgm_iqr,29,29
cgm_lbgi,49,56
cgm_mad,25,34
cgm_mag,13,57
cgm_mean,109,70
cgm_median,104,64
cgm_modd,0,26
cgm_sd_roc,9,63
cgm_sdhmm,37,6
cgm_sdw,0,11
cgm_sdwsh,21,68
dispersion_qbox_median,3,2
elasticity_qbox_median,1,0
hip_circumference,7,2
speed_of_sound_qbox,31,42
total_scan_sat_mass,43,5
total_scan_sat_volume,43,5
total_scan_vat_mass,28,59
total_scan_vat_volume,28,59
velocity_qbox_median,1,0
viscosity_qbox_median,0,3
waist_circumference,17,26
waist_to_hip_ratio,19,59
