Feature,Score,P_value
speed_of_sound_qbox,229.08037754233877,1.032162346722166e-49
cgm_mean,222.08037754075548,1.0421679686356172e-49
cgm_median,217.23280274406562,1.1306354250993684e-48
cgm_mod,158.11849641631193,5.3454973459789914e-36
cgm_mad,156.5071173747019,1.1879904936361011e-35
attenuation_coefficient_qbox,141.33316893995234,2.107619718431273e-32
cgm_sdw,136.8657737318562,2.0348347878368606e-31
cgm_above_140,109.69106815090176,1.53688858862547e-25
cgm_mag,109.43007088833598,1.750756155088314e-25
cgm_hbgi,106.6963384694353,6.875170029715753e-25
cgm_lbgi,95.81492932491325,1.5808111743489552e-22
total_scan_vat_volume,95.44558535860227,1.90092739999482457e-22
total_scan_vat_mass,95.44558535857341,1.9009273999747326e-22
body_comp_trunk_fat_mass,94.539096933637106,2.991140072893555e-22
body_comp_android_fat_mass,87.84283268910468,8.567757883729604e-21
cgm_grade,87.50440297581763,1.0151991802533932e-20
body_comp_android_tissue_percent_fat,70.27364434477014,5.833636184886852e-17
body_comp_trunk_tissue_percent_fat,66.60489305441844,3.703458677701645e-16
waist_circumference,60.46686480478973,3.96629861694302e-16
bmi,63.906924270694,1.4435784561992827e-15
waist_to_hip_ratio,62.41896988493236,3.0586680437867805e-15
body_comp_total_fat_mass,60.0925270713589,9.901177129540754e-15
cgm_above_180,56.57992890204316,5.844519130617425e-14
cgm_gmi,54.44194042263998,1.7241286729336827e-13
cgm_sdhmm,52.883689897168374,3.7953307306324884e-13
total_scan_sat_volume,38.56712500095936,5.493647337600145e-10
total_scan_sat_mass,38.5671250009438,5.49364733764929e-10
cgm_cogi,36.35703996280283,1.6990348205135458e-09
body_comp_total_tissue_percent_fat,35.092101416095567,3.2450177902091124e-09
cgm_iqr,33.23911176511,8.38297688012789e-09
body_comp_total_tissue_mass,29.22576732186357,6.585044739776857e-08
cgm_sdwsh,29.2050124626809,6.65575942743822e-08
cgm_cv,19.903610186175396,8.230717042713956e-06
hip_circumference,12.80968281320455,0.0003464094416062203
cgm_sd_roc,11.123356389839886,0.0008554749538757706
cgm_adrr,5.017009955804422,0.025120644281693368
body_comp_android_lean_mass,3.24245328660892,0.07178225803538717
body_comp_trunk_lean_mass,1.94025664809424,0.16367062532941795
dispersion_qbox_median,1.2408870205454876,0.2653260721299212
body_comp_total_lean_mass,0.8666595246275314,0.3519034970715378
viscosity_qbox_median,0.6520992685033233,0.4193817157073517
velocity_qbox_median,0.6331894913450091,0.4262060674801871
cgm_grade_eugly,0.4978301447315686,0.480470991769787
elasticity_qbox_median,0.39072463749928305,0.5319325451194
