Feature,Score,P_value
total_scan_vat_volume,385.95855511232867,2.1498442908132343e-84
total_scan_vat_mass,385.95855511232106,2.1498442909350114e-84
waist_circumference,326.8885248001446,5.8398205534619e-72
body_comp_android_fat_mass,315.8320683333965,1.2652014824581688e-69
body_comp_trunk_fat_mass,294.89082787609226,3.4150032050162965e-65
body_comp_total_tissue_mass,270.3573240830525,5.460407172234e-60
bmi,255.90984345187013,6.428642719607548e-57
waist_to_hip_ratio,240.47430191512603,1.2427999048668395e-53
body_comp_total_fat_mass,183.16011073502204,2.2260372952095227e-41
attenuation_coefficient_qbox,137.97890516040655,1.1702424149100278e-31
body_comp_android_lean_mass,136.66846148212773,2.44503281525321e-31
body_comp_android_tissue_percent_fat,132.68653777500447,1.6252105013955847e-30
body_comp_total_lean_mass,127.18847727865497,2.505627176289579e-29
body_comp_trunk_lean_mass,120.4419700666021,7.212290296893811e-28
body_comp_trunk_tissue_percent_fat,104.44659594473418,2.109257768772041e-24
hip_circumference,100.29442952938854,1.6806515720395362e-23
total_scan_sat_volume,92.89733374603861,6.808013468909519e-22
total_scan_sat_mass,92.8973337459859,6.808013469088646e-22
speed_of_sound_qbox,83.67137218899374,6.941926067636639e-20
viscosity_qbox_median,51.564585594860745,7.404825074729849e-13
dispersion_qbox_median,34.88547713232086,3.607007730739939e-09
body_comp_total_tissue_percent_fat,27.601264513154984,1.5204831224649353e-07
elasticity_qbox_median,25.972278617943317,3.524779638216071e-07
velocity_qbox_median,25.57933319902471,4.318484092688691e-07
cgm_iqr,20.575330011380615,5.7975980578551046e-06
cgm_modd,19.580986215971247,9.741167184243326e-06
cgm_mad,17.392882453369186,3.0644405647597564e-05
cgm_hbgi,14.841740841752976,0.00011762539967879361
cgm_above_140,14.592367021284522,0.00013423498725426768
cgm_gmi,11.838658912939932,0.0005824292210489282
cgm_mean,11.838658912733045,0.0005824292211142317
cgm_sdw,10.87726882272291,0.000976804985284991
cgm_median,9.266384656441037,0.0023398475157522217
cgm_lbgi,7.366148202599133,0.0066573365708394346
cgm_sd_roc,6.715112750696812,0.009573361972867187
cgm_adrr,5.900280176823111,0.015155406020011166
cgm_mag,4.350797570820311,0.03701607848891548
cgm_sdhmm,3.8641541022809496,0.049354780159111246
cgm_cogi,2.8538579244512997,0.09123047665370862
cgm_above_180,2.4479320881617626,0.11771041930619683
cgm_cv,1.7221391343617156,0.18944706223193686
cgm_grade,1.6017220100739002,0.2056878720204984
cgm_grade_eugly,1.4219586912313198,0.23310865322365137
cgm_sdwsh,1.1318187901509937,0.287412570854611
