Feature,Score,P_value
body_comp_total_tissue_percent_fat,88.14584901627369,7.360343166792977e-21
body_comp_total_fat_mass,80.67816416035978,3.118795780413431e-19
body_comp_total_fat_mass,71.81952880286912,2.6679032213027255e-17
body_comp_android_tissue_percent_fat,69.33660689325285,9.351190645831395e-17
body_comp_trunk_fat_mass,51.758246637031625,6.712585519105883e-13
total_scan_sat_volume,45.88174470687861,1.3244222292772532e-11
total_scan_sat_mass,45.88174470686067,1.3244222292881883e-11
bmi,42.38361511853927,7.84963332503749e-11
body_comp_android_fat_mass,37.5244607356077,9.35614284264783e-10
speed_of_sound_qbox,34.978345415122966,3.439558168084806e-09
hip_circumference,30.406969090452566,3.5869196671235856e-08
body_comp_trunk_lean_mass,12.76346844205609,0.0003550628780726903
body_comp_total_lean_mass,12.018787223307607,0.0005288109986593641
waist_circumference,11.103583526980163,0.0008646339962587195
body_comp_android_lean_mass,10.42705854518882,0.0012457023774630667
cgm_sd_roc,9.727822824505926,0.0018199820163490544
cgm_grade_eugly,8.87860648637523,0.002892025877328882
total_scan_vat_volume,8.191002906090583,0.004218318762823378
total_scan_vat_mass,8.191002906071821,0.004218318762872556
cgm_cogi,7.154432088983197,0.0074896662084314985
cgm_cv,6.96685102710046,0.008315811442979038
body_comp_total_tissue_mass,6.668563773796587,0.009826446599548318
cgm_adrr,6.316298879222937,0.011978392747858349
viscosity_qbox_median,4.62454614961142,0.031540715850928026
cgm_sdwsh,4.058719000276279,0.04396966953701316
cgm_lbgi,4.019958255457052,0.0449908516732181
cgm_median,2.94115414887884,0.08637898533611638
attenuation_coefficient_qbox,2.831748691597231,0.09244787833143132
cgm_gmi,2.5144297193047604,0.11283902431994065
cgm_mean,2.5144297190519365,0.11283902433815506
cgm_modd,1.6167991943374584,0.2035672805576909
elasticity_qbox_median,1.2482931144260718,0.26390470075981565
cgm_grade,1.1321789345829905,0.2873358996073576
cgm_above_180,0.7593030396912039,0.38356695951232456
cgm_sdw,0.6848570199139707,0.4079383313430568
cgm_mag,0.4797176974611087,0.4885657748376435
cgm_mad,0.44937358164206975,0.5026475561487787
velocity_qbox_median,0.3667429644359924,0.5447983020050935
dispersion_qbox_median,0.22739421768190293,0.6334728247461656
cgm_sdhmm,0.2015656253580771,0.6534694868168525
cgm_iqr,0.06628539822148823,0.7968291946211088
waist_to_hip_ratio,0.03348696894587336,0.8548059617065021
cgm_hbgi,0.005486025293716763,0.9409579435022898
cgm_above_140,0.002763873638888672,0.9580734997731756
