Feature,Score,P_value
total_scan_vat_volume,322.51009155341785,4.910201891844373e-71
total_scan_vat_mass,322.5100915533315,4.910201892048405e-71
waist_to_hip_ratio,229.95262454737454,2.1764110664235092e-51
waist_circumference,213.668404957278597,6.557151836934547e-48
body_comp_android_fat_mass,196.52131630922807,3.0454346226862534e-44
body_comp_trunk_fat_mass,192.37807822812715,2.350853385527801e-43
body_comp_android_tissue_percent_fat,158.8587158874306,3.704181575750411e-36
bmi,138.26884553248442,1.0132178333482428e-31
body_comp_trunk_tissue_percent_fat,130.9113983270068,3.929781897980112e-30
body_comp_total_tissue_mass,108.62148000914597,2.621451173490686e-25
body_comp_total_fat_mass,88.95431701353891,4.9080531941778695e-21
cgm_modd,81.43842765284126,2.129162763856459e-19
speed_of_sound_qbox,80.66729373705283,3.135805958113638e-19
cgm_above_140,64.03164630038148,1.3555963234544605e-15
cgm_sdw,63.43706900426795,1.829802910646317e-15
cgm_mag,58.59707553220826,2.10783660682363458e-14
cgm_hbgi,51.32573756523717,8.3577124722442e-13
body_comp_android_lean_mass,49.04923222057459,2.651455653053776e-12
attenuation_coefficient_qbox,48.02205385082252,4.46573385616915e-12
cgm_iqr,44.990831614544575,2.083094127503396e-11
body_comp_total_lean_mass,41.7120486992144,1.1050791953038126e-10
total_scan_sat_mass,40.62863565875798,1.919390812101162e-10
total_scan_sat_volume,40.62863565872037,1.9193908121385167e-10
cgm_gmi,40.359628876406916,2.201520386626199e-10
cgm_mean,40.359628876268076,2.2015203867832598e-10
cgm_mad,37.315108810880545,1.041220422292716e-09
body_comp_trunk_lean_mass,37.015799808365315,1.213285546875492e-09
cgm_median,32.19858668948895,1.4293808082113044e-08
body_comp_total_tissue_percent_fat,29.989305368785384,4.446051103775038e-08
hip_circumference,29.94772702898978,4.5421344691380926e-08
cgm_above_180,22.75256816779836,1.8677762661483064e-06
cgm_lbgi,20.31192575105049,6.651222009672872e-06
cgm_sdhmm,16.72695529011505,4.349054368994231e-05
cgm_cv,16.71873242483803,4.367913937342812e-05
cgm_sdwsh,11.09873787688906,0.0008668936480548533
viscosity_qbox_median,11.096989761342542,0.0008677103041445788
cgm_cogi,9.685539408921015,0.001862302479819825
cgm_grade,9.08558975643718,0.0025825618006884523
dispersion_qbox_median,5.973264783369982,0.014540963180248586
cgm_sd_roc,3.5406824853325114,0.0599088918934426
cgm_grade_eugly,0.4522835892381896,0.5012675366676802
cgm_adrr,0.2793522203339248,0.5971374561439242
elasticity_qbox_median,0.04563220420714158,0.8308499879948739
velocity_qbox_median,1.6197174896772437e-05,0.9967889429985862
