Feature,Score,P_value
total_scan_vat_volume,660.1706293365869,3.4856749414380317e-141
total_scan_vat_mass,660.1706293364438,3.4856749416619276e-141
waist_circumference,533.24383952782795,4.4043828047880997e-115
body_comp_android_fat_mass,493.71631464778666,6.8620093110813106e-107
body_comp_trunk_fat_mass,474.6329684405861,6.360535365293998e-103
bmi,420.870511114398,1.0425734634701362e-91
waist_to_hip_ratio,406.08586773020666,1.295696004884037e-88
body_comp_total_tissue_mass,381.4538951851869,1.896778655745917e-83
body_comp_total_fat_mass,288.1229941369632,9.28046997135489e-64
body_comp_android_lean_mass,226.34624626822597,1.2801887055024353e-50
body_comp_android_tissue_percent_fat,224.19422943472318,3.6865836654789273e-50
body_comp_trunk_tissue_percent_fat,191.57186673744593,3.499340403068857e-43
body_comp_trunk_lean_mass,168.10836393171624,3.797308637747328e-38
body_comp_total_lean_mass,160.44357658582636,1.689203105086782e-36
hip_circumference,152.23956779477516,9.8560663280525e-35
cgm_modd,120.7623378358644,6.14819330345689e-28
speed_of_sound_qbox,118.50830614014347,1.8955292806794524e-27
total_scan_sat_mass,116.37770710569153,5.468527739622421e-27
total_scan_sat_volume,116.37770710568597,5.468527739638624e-27
cgm_mag,106.0852300189308,9.302054531427389e-25
cgm_sdw,99.3047662173524,2.7568746603180727e-23
cgm_iqr,98.28323901591004,4.59536105345156e-23
cgm_mad,87.9653658164316,8.057313303010424e-21
attenuation_coefficient_qbox,82.20564032163671,1.4485914944226824e-19
cgm_mean,80.76686806286264,2.98321161853952e-19
cgm_gmi,80.766868062821255,2.983211619154063e-19
cgm_median,71.7845160038847,2.726658928743916e-17
viscosity_qbox_median,61.02156617959305,6.19317511129327e-15
body_comp_total_tissue_percent_fat,59.61086067012253,1.26287596400862e-14
cgm_above_140,58.03258226696947,2.8038256918535143e-14
cgm_hbgi,41.650340292219546,1.1403699083955416e-10
cgm_lbgi,41.4550154386462,1.259687337270065e-10
cgm_sdwsh,39.141763330176914,4.0972709225945703e-10
cgm_sdhmm,27.560797367949988,1.552542664921581e-07
cgm_cv,22.79197367316016,1.829950639995089e-06
cgm_grade,22.06537574100515,2.6691694214187614e-06
cgm_cogi,20.272487323219163,6.789470095279128e-06
velocity_qbox_median,19.145619763557132,1.2230329888667103e-05
elasticity_qbox_median,16.26742049697547,5.5396978562034514e-05
cgm_sd_roc,13.808323897142856,0.00020350491434227601
cgm_above_180,7.475018263127788,0.006266744858086804
dispersion_qbox_median,3.7031601337030047,0.05433693463665136
cgm_grade_eugly,1.093005541657788,0.29583068249515265
cgm_adrr,0.6214590850306781,0.4305236747545562
