Feature,group
bmi,0
body_comp_total_fat_mass,0
body_comp_total_tissue_percent_fat,0
body_comp_total_tissue_mass,0
waist_circumference,1
hip_circumference,1
waist_to_hip_ratio,1
body_comp_android_fat_mass,1
body_comp_android_tissue_percent_fat,1
body_comp_trunk_fat_mass,1
body_comp_trunk_tissue_percent_fat,1
total_scan_vat_mass,1
total_scan_vat_volume,1
total_scan_sat_mass,1
total_scan_sat_volume,1
body_comp_total_lean_mass,2
body_comp_android_lean_mass,2
body_comp_trunk_lean_mass,2
cgm_mean,4
cgm_median,4
cgm_iqr,5
cgm_gmi,4
cgm_cv,5
cgm_mad,5
cgm_mag,5
cgm_modd,5
cgm_sd_roc,5
cgm_sdhmm,5
cgm_sdw,5
cgm_sdwsh,5
cgm_above_140,6
cgm_above_180,6
cgm_hbgi,6
cgm_lbgi,6
cgm_adrr,7
cgm_cogi,7
cgm_grade,7
cgm_grade_eugly,7
attenuation_coefficient_qbox,8
speed_of_sound_qbox,8
elasticity_qbox_median,9
velocity_qbox_median,9
viscosity_qbox_median,10
dispersion_qbox_median,10
